"ATT_CODE","DIGEST Status","US","CA","UK","FR","BE","NL","GE","SE","CZ","IT","ATT_NAME","ATT_DESCRIPTION","ATT_TYPE","ATT_FORMAT","ATT_LENGTH","MIN_VAL","MAX_VAL","Date of last change","Source of Proposed Change","Approval Notes","Report Number","Change History","Justification","Comments","US Comments","CA Comments","UK Comments","FR Comments","BE Comments","NL Comments","GE Comments","SE Comments","CZ Comments","IT Comments"
"AAC",0,,,,,,,,,,,"Aeronautical Approach Category","Defines the types of aeronautical approaches.","Coded","Short Integer",1,0.00,999.00,2002/09/05 0:00:00,"US","FWP 09","2.2","New Attribute","Breakout of multiconcept attributes i.e. USE and EXS","GE: Yes",,,,,,,,,,
"AAH",0,,,,,,,,,,,"Absolute Horizontal Accuracy","Absolute horizontal accuracy integer value used in the ISO 8211 encapsulation. Units shall be described by reading the UNIaah field.","Numeric","Short Integer",1,-32767.00,32767.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"AAI",0,,,,,,,,,,,"Horizontal Accuracy Category","The horizontal accuracy of the geographic position.","Coded","Short Integer",1,0.00,999.00,1998/06/12 0:00:00,"US","FWP 10","2.2","New Attribute","Required for migration of vertical obstruction data into VPF.","US: Needs reference to source of data.
IT does not concur with coded ranges.  
US - The ranges are defined by NIMA's current Vertical Obstruction database which is currently being shared and used by several nations.  In order to migrate this data to VPF without significant loss of information the same set of coded ranges shouls also be used in FACC.",,,,,,,,,,
"AAV",0,,,,,,,,,,,"Absolute Vertical Accuracy","Absolute vertical accuracy integer value used in the ISO 8211 encapsulation. Units shall be described by reading the UNIaav field.","Numeric","Short Integer",1,-32767.00,32767.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"AAW",0,,,,,,,,,,,"Vertical Accuracy Category","The vertical accuracy of the geographic position.","Coded","Short Integer",1,0.00,999.00,1998/06/12 0:00:00,"US","FWP 09","2.2","New Attribute","Required by vertical obstruction data.","UK:  Concur but suggest adding ""Category"" to the attribute name.  
US:  Agrees with name change and has added ""Category"" to name.  
UK:  Requests clarification of the rationale for the ranges proposed. 
IT:  Does not concur with coded ranges. 
US: The ranges are defined by NIMA's current Vertical Obstruction database which is currently being shared and used by several nations.  In order to migrate this data to VPF without significant loss of information the same set of coded ranges must also be used in FACC.  
IT:  Requests clarification on the use of feet.
US: The  internationally agreed upon units for civil aviation are feet.  To avoid any chance of rounding and conversion error it is better to store the ""official"" value in feet, rather than in metres and have to convert later when displaying the value.",,,,,,,,,,
"ACC",0,,,,,,,,,,,"Accuracy Category","Accuracy of geographic position.","Coded","Short Integer",1,0.00,999.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"ACL",0,,,,,,,,,,,"Accuracy Left Bank","Accuracy of the geographic position of the left bank of a watercourse.","Coded","Short Integer",1,0.00,999.00,2002/09/05 0:00:00,"US","FWP 09","2.2","New Attribute","Required for FACS migration of legacy data to FACC for FLDB and GIDI population.","GE: Yes",,,,,,,,,,
"ACR",0,,,,,,,,,,,"Accuracy Right Bank","Accuracy of the geographic position of the right bank of a watercourse.","Coded","Short Integer",1,0.00,999.00,2002/09/05 0:00:00,"US","FWP 09","2.2","New Attribute","Required for FACS migration of legacy data to FACC for FLDB and GIDI population.","GE: Yes",,,,,,,,,,
"ACS",0,,,,,,,,,,,"Accessibility Status","Defines various types of accessibility to a feature.","Coded","Short Integer",1,0.00,999.00,2002/09/05 0:00:00,"US","FWP 10","2.2","New Attribute","Breakout of multiconcept attributes i.e. USE and EXS","GE: Yes",,,,,,,,,,
"ADT",0,,,,,,,,,,,"Access Direction Type","Defines an entrance to or start, or exit from or end of a feature in reference to allowable traffic flow.  Do not confuse with BDS Bi-Directional Status","Coded","Short Integer",1,0.00,999.00,2002/09/05 0:00:00,"US","FWP 10","2.2","New Attribute","Breakout of multiconcept attributes i.e. USE and EXS","GE: Yes",,,,,,,,,,
"AE1",0,,,,,,,,,,,"Absolute Ellipsoid Height Accuracy in Metres - High End (WGS84)","The accuracy of the ellipsoid height relative to WGS 84 at the high end of the runway.","Numeric","Floating Point",1,,,2000/08/07 0:00:00,"US",,"2.1","Version 2.1: New Attribute","Airfield Initiative Requirement",,,,,,,,,,,
"AE2",0,,,,,,,,,,,"Absolute Ellipsoid Height Accuracy in Metres - Low End (WGS84)","The accuracy of the ellipsoid height relative to WGS 84 at the low end of the runway.","Numeric","Floating Point",1,,,2000/08/07 0:00:00,"US",,"2.1","Version 2.1: New Attribute","Airfield Initiative Requirement",,,,,,,,,,,
"AEH",0,,,,,,,,,,,"Absolute Ellipsoid Height Accuracy in Metres (WGS84)","The accuracy of the ellipsoid height relative to WGS 84.","Numeric","Floating Point",1,,,2000/08/07 0:00:00,"US",,"2.1","Version 2.1: New Attribute","Airfield Initiative Requirement.",,,,,,,,,,,
"AFA",0,,,,,,,,,,,"Available Facilities","Facilities available at or in the near vicinity.","Coded","Short Integer",1,0.00,999.00,1998/06/24 0:00:00,,,"2.0",,,,,,,,,,,,,
"AFC",0,,,,,,,,,,,"Agricultural Facility Category","Encodes facilities or buildings which are related to agricultural activities or functions.","Coded","Short Integer",1,0.00,999.00,2002/09/05 0:00:00,"US","FWP 09","2.2","New Attribute","Breakout of multiconcept attributes i.e. USE and EXS","GE: Yes
004 FR comments that Outbuilding is not limites to agricultural buildings
US: Agrees add to all BFC breakouts.",,,,,,,,,,
"AGC",0,,,,,,,,,,,"Arresting Gear Category","Device used to stop an uncontrolled aircraft at the end of a runway.","Coded","Short Integer",1,0.00,999.00,1998/04/02 0:00:00,,,"2.0",,,,,,,,,,,,,
"AGL",0,,,,,,,,,,,"Arresting Gear Location","The distance of the arresting system from the closest threshold of the runway /landing area referenced by Runway Cross Reference Code (RWC).","Numeric","Floating Point",1,,,2002/09/05 0:00:00,"US","FWP 09","2.2","New Attribute","Required for FACS migration of legacy data to FACC for FLDB and GIDI population.","GE: Yes",,,,,,,,,,
"AHA",0,,,,,,,,,,,"Absolute Horizontal Accuracy in Meters","The difference between the recorded horizontal coordinates of features and their true positions expressed as a circular error at 90% probability.","Numeric","Floating Point",1,,,1998/04/02 0:00:00,"WP",,"2.0A",,"Addition or modification required for mapping IHO S-57 to FACC and added to avoid UNI use with AAV.
",,,,,,,,,,,
"AHC",0,,,,,,,,,,,"Associated Hydrographic Category","The annual water content of the associated hydrographic feature as defined by the Inland Shoreline.","Coded","Short Integer",1,0.00,999.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"AHO",0,,,,,,,,,,,"Accuracy of Obstruction Height Above Ground Level","Indicates the difference between the recorded heights above ground level of features and their true heights at 90% probability.","Numeric","Floating Point",1,,,1998/04/02 0:00:00,"US",,"2.0A",,"Increased accuracy and precise definition required by vertical obstruction data.
",,,,,,,,,,,
"AIA",0,,,,,,,,,,,"Airspace Identification Attribute","A set of characters which enables an individual airspace to be uniquely identified.","Text","Lexical",15,,,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"AKY",0,,,,,,,,,,,"Airport Key","Unique identification of the airport where: 1-2 Country Code, 3-6 WAC, 7-12 Installation Number.","Structured Text","ASCII Text",12,,,2003/07/28 0:00:00,"US","30June2003","2.2","New Attribute","Required for FACS migration of legacy data to FACC for FLDB and GIDI population.","GE: Yes, but:  3 characters for country code!  (ISO compliance here, too!)
There are both 2 and 3 letter codes, this attribute uses the 2 letter codes.",,,,,,,,,,
"ALA",0,,,,,,,,,,,"Absolute Latitude Accuracy in Metres (WGS84)","The accuracy of the latitudinal value relative to WGS 84.","Numeric","Floating Point",1,,,2000/08/07 0:00:00,"US",,"2.1","Version 2.1: New Attribute","Airfield Initiative Requirement",,,,,,,,,,,
"ALC",0,,,,,,,,,,,"Aircraft Load Class","A description of any load restrictions which apply to aircraft using a facility.","Text","Lexical",80,,,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"ALI",0,,,,,,,,,,,"Airspace Limitation","The type of airspace wherein activities must be confined because of their nature and/or wherein limitations may be imposed upon aircraft operations.","Coded","Short Integer",1,0.00,999.00,2003/05/01 0:00:00,"US","30April 2003","2.2","New Attribute","Created in order to harmonise FACC with EDCS and suggested by SEDRIS.  Based on EDCS: EA_AIRSPACE_LIMITATION",,,,,,,,,,,
"ALL",15,,,,,,,,,,,"NIMA Default Coded Attribute Usage","NIMA uses several default values for its coded attributes.  This attribute contains the default values and is to be used for reference only and not as a actual coded attribute.  There are two exceptions to this scheme: PRO and SPR.  See the listing under those attributes for the implementation of the defaults.","Coded","Short Integer",1,0.00,999.00,1998/04/02 0:00:00,"US",,"N/A",,"Control",,,,,,,,,,,
"ALN",0,,,,,,,,,,,"Air Route Segments Length","Length, in nautical miles, of individual air route segments.","Numeric","Short Integer",1,-32767.00,32767.00,1998/06/24 0:00:00,"US",,"2.0A",,"Change NM to Nautical Miles.  Buckley NIMA/IPS",,,,,,,,,,,
"ALO",0,,,,,,,,,,,"Absolute Longitude Accuracy in Metres (WGS84)","The accuracy of the longitudinal value relative to WGS 84.","Numeric","Floating Point",1,,,2000/08/07 0:00:00,"US",,"2.1","Version 2.1: New Attribute","Airfield Initiative Requirement",,,,,,,,,,,
"AMC",0,,,,,,,,,,,"Aeronautical Miscellaneous Function Category","Miscellaneous aeronautical functions not belonging to other categories.","Coded","Short Integer",1,0.00,999.00,2002/09/05 0:00:00,"US","FWP 09","2.2","New Attribute","Breakout of multiconcept attributes i.e. USE and EXS","GE: Yes",,,,,,,,,,
"AO1",0,,,,,,,,,,,"Angle of Orientation With Greater Than 1 Degree Resolution","The angular distance measured from true north (0 deg) clockwise to the major axis of the feature. If the feature is square, the axis 0 through 89 deg shall be recorded. If the feature is circular, 360 deg shall be recorded.","Numeric","Floating Point",1,,,1999/05/20 0:00:00,"US",,"2.1","Version 2.1: New Attribute to permit mapping of S-57 attribute ORIENT to FACC .","Required to map S-57 ORIENT and maintain 0.01 deg precision.","UK:  YES
GE:  YES
CZ:  The resolution should not be in the feature definition at all. Only ""Angle of Orientation"" is O.K.
IT:  ??? Agree with the CZ general concerns. This require a complete review of FACC document!",,,,,,,,,,
"AO2",0,,,,,,,,,,,"Absolute Orthometric Height Accuracy in Metres – High End (WGS84)","The accuracy of the orthometric height relative to WGS 84 of the high end of the runway.","Numeric","Floating Point",1,,,2000/08/07 0:00:00,"US","FWP 08","2.2","New Attribute","Airfield Initiative Requirement",,,,,,,,,,,
"AO3",0,,,,,,,,,,,"Absolute Orthometric Height Accuracy in Metres – Low End (WGS84)","The accuracy of the orthometric height relative to WGS 84 of the low end of the runway.","Numeric","Floating Point",1,,,2000/08/07 0:00:00,"US","FWP 08","2.2","New Attribute","Airfield Initiative Requirement",,,,,,,,,,,
"AOH",0,,,,,,,,,,,"Absolute Orthometric Height Accuracy in Metres (WGS84)","The accuracy of the orthometric height relative to WGS 84.","Numeric","Floating Point",1,,,2000/08/07 0:00:00,"US","FWP 08","2.2","New Attribute","Airfield Initiative Requirement",,,,,,,,,,,
"AOO",0,,,,,,,,,,,"Angle of Orientation","The angular distance measured from true north (0 deg) clockwise to the major axis of the feature. If the feature is square, the axis 0 through 89 deg shall be recorded. If the feature is circular, 360 deg shall be recorded.","Numeric","Short Integer",1,0.00,360.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"APC",0,,,,,,,,,,,"Aeronautical Point Category","Functions of specific point features related to air traffic control.","Coded","Short Integer",1,0.00,999.00,2002/09/05 0:00:00,"US","FWP 09","2.2","New Attribute","Breakout of multiconcept attributes i.e. USE and EXS","GE: Yes",,,,,,,,,,
"APT",0,,,,,,,,,,,"Airfield Type","Unique airfield type.","Coded","Short Integer",1,0.00,999.00,1998/04/02 0:00:00,,,"2.0",,,,,,,,,,,,,
"ARA",0,,,,,,,,,,,"Area Coverage Attribute","The absolute area within the delineation of the feature.","Numeric","Short Integer",1,0.00,32767.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"ARE",0,,,,,,,,,,,"Area With Greater Than 1 Meter Squared Resolution","The absolute area within the delineation of the feature measured with greater precision and range.  (See also ARA)","Numeric","Floating Point",1,,,1998/06/24 0:00:00,"US",,"2.0A",,"ARE is intended to replace ARA and ARH with one floating point attribute.  This will reduce storage requirements for features with large areas and reduce table size and complexity.","IT: agrees but points out that ARA and ARH should be retained for backward compatibility.  
US Agrees.",,,,,,,,,,
"ARH",0,,,,,,,,,,,"Area Coverage Attribute Hectares","The absolute area within the delineation of the feature in hectares.","Numeric","Short Integer",1,-32767.00,32767.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"ARR",0,,,,,,,,,,,"Angle of Radar Reflector","If DIR = 3 then ARR is the angular distance measured from true north (0 deg) clockwise to the reflective side of the feature.","Numeric","Short Integer",1,0.00,360.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"ART",0,,,,,,,,,,,"Aeronautical Route Category","Functions of specific enroute features related to air traffic control.","Coded","Short Integer",1,0.00,999.00,2002/09/05 0:00:00,"US","FWP 09","2.2","New Attribute","Breakout of multiconcept attributes i.e. USE and EXS","GE: Yes
003 FR: Questions 003 Low and High Altitude Enroute.
US: It is a specific ICAO classification of air routes, See ICAO.",,,,,,,,,,
"AS1",0,,,,,,,,,,,"Airport Strip Type","If applicable, the type of strip this aircraft facility is.","Coded","Short Integer",1,0.00,999.00,2002/09/05 0:00:00,"US","FWP 09","2.2","New Attribute","Required for FACS migration of legacy data to FACC for FLDB and GIDI population.","GE: Yes",,,,,,,,,,
"ASC",0,,,,,,,,,,,"Artificial Status Category","Indicates whether something is man made or occurs naturally.","Coded","Short Integer",1,0.00,999.00,2002/09/05 0:00:00,"US","FWP 09","2.2","New Attribute","Breakout of multiconcept attributes i.e. USE and EXS","GE: Yes",,,,,,,,,,
"ASS",0,,,,,,,,,,,"Approach Surface Section Number","A coded number representing the section’s distance from the beginning of the approach surface.","Coded","Short Integer",1,0.00,999.00,2000/08/07 0:00:00,"US",,"2.1","Version 2.1: New Attribute","Airfield Initiative Requirement",,,,,,,,,,,
"ATC",0,,,,,,,,,,,"Aqueduct Type Category","Type of aqueduct.","Coded","Short Integer",1,0.00,999.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"ATL",0,,,,,,,,,,,"ATS Route Level","Defines the ATS Route Structure of which this route is effective.","Coded","Short Integer",1,0.00,999.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"ATN",0,,,,,,,,,,,"Aids to Navigation","Indicates whether a feature is marked or unmarked by an aid to navigation.","Coded","Short Integer",1,0.00,999.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"AUA",0,,,,,,,,,,,"ATS Use Attribute","The particular use of the designated airspace.","Coded","Short Integer",1,0.00,999.00,1998/06/24 0:00:00,"US",,"2.0A",,"Needs reference to source of data.","IT: agrees but requests clarification of exact meaning.  
US:  AUA was meant to be part of the DFLIP product and to conform with the FLIP usage.  When DFLIP was defunded by NIMA I tried to ""Comment out"" all the DFLIP proposed Features and attributes not needed by other products.  At the time AUA was incorporated into Tactical Ocean Data (TOD) to capture some of it's requirements so AUA wasn't pulled. RCB
GE: Yes",,,,,,,,,,
"AUB",0,,,,,,,,,,,"Airspace Use Boundary","Designated airspace within which some or all aircraft may be subject to air traffic control.","Coded","Short Integer",1,0.00,999.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"AUL",0,,,,,,,,,,,"Airspace Use Limitations","Airspace wherein activities must be confined because of their nature and/or wherein limitations may be imposed upon aircraft operations.","Coded","Short Integer",1,0.00,999.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"AUR",0,,,,,,,,,,,"Airspace Use Routes","A specified route designed for channeling the flow of traffic as necessary for the provision of air traffic services.","Coded","Short Integer",1,0.00,999.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"AUS",0,,,,,,,,,,,"Airspace/Facility Operating Times","Status of Air Space and any restrictions that are applicable.","Text","Lexical",256,,,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"AUT",0,,,,,,,,,,,"ATS Use Type","The particular use of the designated airspace","Coded","Short Integer",1,0.00,999.00,2003/05/01 0:00:00,"US","30April 2003","2.2","New Attribute","Created in order to harmonise FACC with EDCS and suggested by SEDRIS.  Based on EDCS: EA ATS_USE_TYPE",,,,,,,,,,,
"AV1",0,,,,,,,,,,,"Lowest Airspace Height","Height (AGL - above ground level) above surface level to the lowest portion of the feature (used only for Air Information).","Numeric","Short Integer",1,-32767.00,32767.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"AV2",0,,,,,,,,,,,"Highest Airspace Height","Height (AGL - above ground level) above surface level to the highest portion of the feature (used only for Air Information).","Numeric","Short Integer",1,-32767.00,32767.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"AVA",0,,,,,,,,,,,"Absolute Vertical Accuracy in Meters","The difference between the recorded elevations of features and their true elevations at a specific point referenced to the same vertical datum at 90% probability.","Numeric","Floating Point",1,,,1998/04/02 0:00:00,"CA",,"2.0A",,"Addition or modification required for mapping IHO S-57 to FACC and added to avoid UNI use with AAV.
",,,,,,,,,,,
