"FAC_CODE","FAC_NAME","FAC_DESCRIPTION","US","CA","UK","FR","BE","NL","GE","SE","CZ","IT","Cat_Ix","SCat_Ix","Date of last change","DIGEST Status","Source of Proposed Change","Approval Notes","Report Number","Change History","Justification","Comments","Equivalence_FC","Equivalence_AC","Equivalence_AV","US Comments","CA Comments","UK Comments","FR Comments","BE Comments","NL Comments","GE Comments","SE Comments","CZ Comments","IT Comments"
"AA010","Mine","An excavation made in the earth for the purpose of extracting natural deposits.  (See also AQ090)",,,,,,,,,,,"A","AA",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AA011","Quarry/Mine Shear Wall","The wall facing of the excavation within a quarry/mine.",,,,,,,,,,,"A","AA",1998/04/02 0:00:00,0,"WP",,"2.0A",,"Capitalization
",,,,,,,,,,,,,,
"AA012","Quarry","An excavation created by removal of stone by blasting or cutting.",,,,,,,,,,,"A","AA",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AA013","Pit","An excavation where gravel, sand, or clay are removed for use elsewhere.",,,,,,,,,,,"A","AA",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AA040","Rig/Superstructure ","A vertical structure fitted for drilling or lifting operations.",,,,,,,,,,,"A","AA",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AA050","Well ","A hole drilled or dug into the earth or sea bed for the extraction of liquids or gases.  (See also BH170)",,,,,,,,,,,"A","AA",1999/05/20 0:00:00,0,"US",,"2.1","Version 2.1: Added phrase ""or dug"".","Added phrase ""or dug"" to definition to capture actual use of feature to include both drilled and dug wells.","UK:  YES
US:  YES
GE:  YES
IT:  YES",,,,,,,,,,,,,
"AA051","Wellhead","The top of a well, as in oil, gas, or water well, that caps the well structure and which may be located on land or partially submerged offshore which nautical vessels can use for lashings.",,,,,,,,,,,"A","AA",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AA052","Oil/Gas Field","An area where oil and/or gas is pumped or otherwise removed from the ground.",,,,,,,,,,,"A","AA",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AA053","Well Protection Structure","A structure, typically a dome or cube, erected over a wellhead or equipment attached to it to lessen the danger of vessels snagging gear.",,,,,,,,,,,"A","AA",2002/09/09 0:00:00,2,"UH",,"AML","New Feature","Requested by UK to support their development of the Additional Military Layers (AML) Products.",,,,,,,,,,,,,,
"AA060","Gradation Works","Trestle covered with twigs over which brine trickles that is concentrated through increased evaporation.",,,,,,,,,,,"A","AA",1998/06/24 0:00:00,0,"GE",,"2.0A",,"Required by topographic products.
",,,,,,,,,,,,,,
