# GeoSym line and area attributes
# GeoSym code, Feature type, Line width, Line color, Stipple pattern, Stipple factor, Fill color
#
0932,AreaPattern,,,,,#a37b3a
0933,AreaPattern,,,,,#969f99
0934,AreaPattern,,,,,#969f99
0949,AreaPattern,,,,,#969f9a
7144,LineComplex,0.4,#ff0000,#fc78,1,
4002,AreaPlain,,,,,#faf8dc
4003,AreaPlain,,,,,#e0c3b4
4005,AreaPattern,,,,,#e0c3b4
4008,AreaPattern,,,,,#e0c3b4
4009,AreaPattern,,,,,#e0c3b4
7157,LineComplex,0.6,#ff0000,#fc78,1,
7158,LinePlain,0.6,#ff0000,,,
4010,AreaPattern,,,,,#e0c3b4
4011,AreaPattern,,,,,#e0c3b4
4012,AreaPattern,,,,,#e0c3b4
4013,AreaPattern,,,,,#e0c3b4
4014,AreaPattern,,,,,#e0c3b4
4015,AreaPlain,,,,,#d2a08c
4018,AreaPlain,,,,,#ffcd82
1573,LinePlain,0.3,#6b716e,,,
4025,AreaPlain,,,,,#a37b3a
4027,AreaPattern,,,,,#c8aa50
4030,AreaPattern,,,,,#c8aa50
4032,AreaPattern,,,,,#c8aa50
4034,AreaPattern,,,,,#decd8b
4036,AreaPlain,,,,,#960000
4051,AreaPattern,,,,,#55a24f
4052,AreaPattern,,,,,#9bc8a3
4054,AreaPattern,,,,,#55a24f
1601,AreaPlain,,,,,#ff5c79
4063,AreaPattern,,,,,#9bc8a3
1605,AreaPattern,,,,,#9bc8a3
1606,AreaPattern,,,,,#9bc8a3
4067,AreaPattern,,,,,#9bc8a3
4068,AreaPattern,,,,,#9bc8a3
1609,AreaPattern,,,,,#0000ff
4071,AreaPlain,,,,,#0000ff
1611,AreaPattern,,,,,#91caf3
1612,AreaPattern,,,,,#9664ff
1613,AreaPattern,,,,,#9bc8a3
4077,AreaPattern,,,,,#91caf3
4078,AreaPattern,,,,,#0000ff
4079,AreaPattern,,,,,#bfe5ff
4080,AreaPattern,,,,,#0000ff
4085,AreaPattern,,,,,#0000ff
4089,AreaPlain,,,,,#9664ff
4098,AreaPattern,,,,,#9664ff
4100,AreaPlain,,,,,#bdc8c1
1651,LineComplex,0.6,#ebb7ee,#ffe0,1,
4105,AreaPattern,,,,,#bdc8c1
1655,LineComplex,0.6,#0000ff,#ffe0,1,
1656,LinePlain,0.2,#00bfff,,,
4108,AreaPattern,,,,,#bdc8c1
4109,AreaPlain,,,,,#969f9a
4123,AreaPattern,,,,,#969f9a
4128,AreaPlain,,,,,#ede2ba
4138,AreaPlain,,,,,#96c3f5
6001,AreaPattern,,,,,#d28c3c
6002,AreaPlain,,,,,#aacac7
6003,AreaPattern,,,,,#0000ff
6004,LineComplex,0.6,#7d0000,#ffe0,1,
6005,AreaPlain,,,,,#8ec96b
6006,AreaPattern,,,,,#000001
6007,AreaPlain,,,,,#0079a4
6008,AreaPattern,,,,,#fb7f48
4145,AreaPattern,,,,,#96c3f5
6009,AreaPattern,,,,,#aad7f5
6011,LinePlain,0.4,#decd8b,,,
6012,AreaPlain,,,,,#eafff3
4150,AreaPattern,,,,,#d2eae7
6014,LineComplex,0.3,#9e8028,#fc78,1,
4151,AreaPattern,,,,,#0000ff
4152,AreaPlain,,,,,#aad7f5
4154,AreaPlain,,,,,#bfe5ff
4156,AreaPlain,,,,,#000001
6021,LineComplex,0.3,#969f99,#fc78,1,
6022,LineComplex,0.3,#969f99,#fc78,1,
6023,LinePlain,0.6,#a52a2a,,,
6024,LinePlain,0.9,#a52a2a,,,
6025,LineComplex,0.6,#969f99,#fc78,1,
6026,LinePlain,0.4,#969f99,,,
4167,AreaPattern,,,,,#000001
6037,LineComplex,0.4,#00bfff,#fff0,1,
6038,LineComplex,0.4,#00bfff,#eeee,3,
4175,AreaPlain,,,,,#ff984f
6040,LineComplex,0.4,#000001,#fffe,1,
6042,AreaPlain,,,,,#00bfff
6045,AreaPattern,,,,,#9bc8a3
4182,LineComplex,0.2,#00bfff,#ffe0,1,
6046,AreaPattern,,,,,#00bfff
4183,LinePlain,1.0,#9664ff,,,
4184,LineComplex,0.3,#9664ff,#ff00,1,
4186,LineComplex,0.6,#de4bc9,#ffe0,1,
6050,AreaPattern,,,,,#d2eae7
4201,LineComplex,0.6,#969f9a,#ffe0,1,
4202,LineComplex,.5,#969f9a,#fc00,1,
4203,LineComplex,0.6,#969f9a,#fccc,3,
4217,LinePlain,0.3,#9e8028,,,
4220,LinePlain,0.6,#e0c3b4,,,
4230,AreaPattern,,,,,#9bc8a3
4236,LinePlain,1.0,#e0c3b4,,,
4243,AreaPlain,,,,,#6b716f
4249,AreaPattern,,,,,#000001
4262,LineComplex,0.6,#a100ff,#ffe0,1,
4265,LinePlain,0.6,#0000ff,,,
4266,LinePlain,0.3,#0000ff,,,
4279,LineComplex,0.6,#fb7f4a,#ff00,1,
3000,LineComplex,0.6,#ebb7ed,#ffe0,1,
3001,LinePlain,0.6,#faf8dc,,,
3003,LinePlain,0.3,#d28c3c,,,
4289,AreaPattern,,,,,#0000ff
4292,LinePlain,0.6,#55a24f,,,
3014,LinePlain,0.8,#c8aa50,,,
3017,LineComplex,0.6,#c8aa50,#ffe0,1,
3024,LinePlain,0.3,#c8aa50,,,
3026,LinePlain,0.4,#d28c3c,,,
4301,AreaPlain,,,,,#618df3
4304,LinePlain,0.2,#decd8b,,,
4305,LineComplex,0.3,#decd8b,#fc78,1,
1855,LinePlain,0.6,#960000,,,
4306,LineComplex,0.4,#decd8b,#fffe,1,
3031,LinePlain,0.6,#005d00,,,
4307,LineComplex,0.2,#decd8b,#fffe,1,
4308,LineComplex,0.2,#decd8b,#fff0,1,
4309,LineComplex,0.3,#decd8b,#fffe,1,
4310,LineComplex,0.3,#decd8b,#fffc,1,
3036,LineComplex,0.6,#9bc8a3,#fc78,1,
4311,LinePlain,0.4,#00bfff,,,
4312,LinePlain,0.2,#00bfff,,,
4313,LineComplex,0.2,#00bfff,#fffc,1,
4314,LineComplex,0.3,#00bfff,#fc78,1,
4315,LineComplex,0.3,#00bfff,#fc78,1,
4316,LineComplex,0.4,#00bfff,#fffe,1,
4317,LineComplex,0.2,#00bfff,#fffe,1,
4318,LineComplex,0.2,#00bfff,#fff0,1,
3047,LineComplex,0.6,#0000ff,#fff0,2,
4324,AreaPattern,,,,,#969f99
3052,LinePlain,0.3,#9664ff,,,
3054,LineComplex,0.3,#ebb7ed,#ff00,1,
0600,LinePlain,0.3,#000001,,,
3061,LineComplex,.5,#de4bc9,#fc00,1,
0604,LinePlain,0.3,#a37b3a,,,
0605,LinePlain,0.6,#a37b3a,,,
0606,LinePlain,1.0,#a37b3a,,,
0607,LinePlain,1.3,#a37b3a,,,
0608,LinePlain,0.3,#969f9a,,,
3069,LinePlain,0.3,#9664ff,,,
0609,LinePlain,0.6,#6b716f,,,
3070,LinePlain,0.6,#9664ff,,,
0610,LinePlain,1.0,#969f99,,,
0611,LinePlain,1.3,#969f99,,,
0612,LinePlain,0.3,#bdc8c1,,,
3073,LineComplex,0.6,#9664ff,#ff00,1,
3074,LineComplex,0.6,#a100ff,#fc78,1,
0614,LineComplex,0.3,#969f9a,#ffe0,1,
0615,LinePlain,1.0,#eafff3,,,
3076,LinePlain,0.6,#bdc8c1,,,
3077,LineComplex,0.3,#bdc8c1,#ffe0,1,
0620,LinePlain,1.8,#ebb7ee,,,
0621,LinePlain,0.3,#91caf3,,,
3082,LinePlain,0.3,#969f99,,,
0623,LinePlain,0.6,#6b716e,,,
0624,LineComplex,0.3,#a37b3a,#ffe0,1,
0625,LinePlain,1.3,#6b716e,,,
3086,LineComplex,0.3,#969f99,#ff00,1,
0626,LineComplex,0.6,#6b716e,#ffe0,1,
1901,AreaPlain,,,,,#decd8d
0627,LinePlain,1.6,#969f99,,,
1902,AreaPlain,,,,,#c8a797
1903,AreaPlain,,,,,#f0a0a0
0629,LineComplex,0.6,#969f99,#ffe0,1,
1904,AreaPlain,,,,,#ccb641
1905,AreaPlain,,,,,#ffffff
0630,LineComplex,.5,#6b716e,#fc00,1,
1906,AreaPlain,,,,,#c80000
0631,LinePlain,0.6,#969f99,,,
0632,LineComplex,0.3,#6b716e,#ffe0,1,
0633,LineComplex,0.6,#bdc8c1,#ffe0,1,
0634,LineComplex,0.3,#de4bc9,#ffe0,1,
0635,LineComplex,0.3,#ebb7ed,#ffe0,1,
3096,LineComplex,0.4,#969f99,#db68,3,
3104,LinePlain,1.0,#ff5c79,,,
0656,LineComplex,0.3,#969f99,#ffe0,1,
0657,LineComplex,1.3,#969f99,#ffe0,1,
3108,LinePlain,0.6,#00bfff,,,
3109,LineComplex,.5,#00bfff,#fc00,1,
0661,LineComplex,1.0,#de4bcb,#ffe0,1,
3112,LinePlain,0.6,#000001,,,
0662,LineComplex,0.3,#de4bcb,#ffe0,1,
3113,LinePlain,0.7,#000001,,,
0663,LineComplex,0.6,#de4bcb,#ffe0,1,
3114,LineComplex,0.3,#000001,#ff00,1,
3115,LineComplex,0.6,#000001,#ff00,1,
0665,LineComplex,1.3,#de4bcb,#ffe0,1,
3116,LineComplex,0.3,#000001,#ffe0,1,
3117,LineComplex,0.6,#000001,#ffe0,1,
3118,LineComplex,1.0,#000001,#ffe0,1,
3119,LineComplex,0.3,#000001,#fff0,2,
1256,LinePlain,0.3,#000004,,,
0669,LineComplex,0.3,#91caf3,#ffe0,1,
3120,LineComplex,0.6,#000001,#fff0,2,
0670,LineComplex,0.6,#91caf3,#ffe0,1,
3121,LineComplex,1.0,#000001,#fff0,2,
3123,LineComplex,0.9,#000001,#fc78,1,
3125,LineComplex,0.9,#000001,#fc78,1,
3127,LineComplex,0.9,#000001,#fc78,1,
3129,LineComplex,0.9,#000001,#fc78,1,
0680,LineComplex,.5,#000001,#fe00,1,
3131,LineComplex,0.9,#000001,#fc78,3,
0681,LinePlain,0.6,#618df4,,,
0682,LinePlain,0.3,#618df4,,,
3133,LineComplex,0.9,#000001,#fc78,3,
0683,LineComplex,.5,#618df4,#c000,2,
0684,LinePlain,0.6,#ff5c79,,,
3135,LineComplex,0.9,#000001,#ff00,3,
0685,LinePlain,0.6,#6aff60,,,
0686,LinePlain,1.3,#de4bc9,,,
3137,LineComplex,0.9,#000001,#ff00,3,
0687,LineComplex,1.3,#de4bc9,#fff0,2,
0688,LineComplex,0.6,#6b716f,#fff8,1,
5001,LineComplex,0.7,#de4bc9,#e7fc,3,
3139,LineComplex,.5,#000001,#ff80,1,
0689,LineComplex,0.3,#969f9a,#fff8,1,
3142,LineComplex,0.3,#000001,#fc78,1,
3143,LineComplex,0.3,#000001,#ffe0,1,
3146,LineComplex,0.2,#000001,#fc78,1,
3148,LineComplex,0.3,#000001,#fc78,1,
3153,LinePlain,0.6,#d2a08c,,,
0700,LineComplex,0.2,#de4bc9,#ded8,3,
0701,LineComplex,0.2,#000001,#ded8,3,
0704,LineComplex,0.3,#969f99,#ff0f,2,
0705,LineComplex,0.3,#de4bc9,#ff0f,2,
3167,LineComplex,0.6,#00bfff,#ff00,1,
3168,LineComplex,.5,#decd8c,#fc00,1,
0708,LineComplex,0.2,#de4bc9,#f7bd,3,
0711,LineComplex,0.3,#de4bc9,#eddc,3,
0712,LineComplex,0.3,#969f99,#ff80,1,
0713,LineComplex,0.4,#de4bc9,#fc78,1,
1301,LineComplex,0.9,#000001,#f000,3,
0716,LineComplex,0.2,#969f99,#fff0,2,
1306,LineComplex,0.2,#decd8b,#fffc,1,
1307,LineComplex,0.3,#decd8b,#fc78,1,
1308,LineComplex,0.3,#000001,#fc78,1,
0722,LineComplex,.5,#de4bc9,#ffc0,1,
1310,LineComplex,1.0,#000001,#fccc,3,
0723,LineComplex,0.2,#de4bcb,#ff7c,3,
1311,LineComplex,1.0,#000001,#ff1c,2,
0724,LineComplex,0.3,#de4bcb,#e441,3,
1312,LineComplex,0.3,#000001,#f830,2,
0725,LineComplex,0.2,#de4bcb,#ffde,3,
3186,LineComplex,0.3,#000001,#f83f,1,
1313,LineComplex,0.9,#9664ff,#f000,3,
0726,LineComplex,0.3,#de4bcb,#d2de,3,
1314,LinePlain,0.4,#000001,,,
0727,LineComplex,0.2,#de4bcb,#dede,3,
0728,LineComplex,0.3,#969f99,#fc78,1,
5051,LinePlain,0.3,#decd8b,,,
0729,LineComplex,0.2,#969f99,#e723,3,
5052,LinePlain,0.3,#000001,,,
1318,LineComplex,0.6,#000001,#fccc,3,
0730,LineComplex,0.3,#969f99,#fc78,1,
1319,LineComplex,0.6,#000001,#fc92,3,
0731,LineComplex,0.3,#969f99,#da58,3,
5055,LinePlain,0.6,#000001,,,
0732,LineComplex,0.3,#969f99,#dad6,3,
