color.txt,Color Assignment File:
index=N,1,Color Index Number,-,:
token=T,14,Color Token Name,-,:
red=N,1,Red Value,-,:
green=N,1,Green Value,-,:
blue=N,1,Blue Value,-,:
;
0|white|255|255|255
1|black|0|0|0
2|yellow|255|255|0
3|magenta|255|0|255
4|cyan|0|255|255
5|blue|0|0|255
6|green|0|255|0
7|red|255|0|0
8|ADINF|204|182|65
9|aero-blue|150|100|255
10|APLRT|255|152|79
11|ARPAT|36|181|175
12|not-used1|1|1|1
13|beige-rose|210|160|140
14|blue_3|170|215|245
15|blue_4|150|195|245
16|blu31|191|229|255
17|CHBLK|234|255|243
18|CHBRN|200|170|80
19|CHCOR|251|127|72
20|CHGRD|150|159|153
21|CHGRF|189|200|193
22|CHGRN|106|255|96
23|CHMGD|222|75|201
24|CHMGF|235|183|237
25|CHRED|255|92|121
26|CHWHT|0|0|1
27|CHYLW|255|240|99
28|CSTLN|107|113|110
29|CURSR|251|127|73
30|dark-beige|200|167|151
31|dark-green|0|93|0
32|dark-magenta|226|0|204
33|dark-red-brown|125|0|0
34|dark-tan|158|128|40
35|dark-yellow|153|124|49
36|DEPCN|150|159|154
37|DEPDW|234|255|244
38|DEPIT|155|200|163
39|DEPMD|210|234|231
40|DEPMS|180|218|247
41|DEPSC|107|113|111
42|DEPVS|145|202|243
43|DNGHL|255|92|122
44|ISDNG|222|75|202
45|LANDA|222|205|139
46|LANDF|163|123|58
47|light-beige|250|248|220
48|light-tan|255|205|130
49|lite-red-brown|200|0|0
50|LITGN|124|254|112
51|LITRD|255|92|123
52|LITYW|255|240|100
53|med-beige|224|195|180
54|med-purple|161|0|255
55|med-red-brown|150|0|0
56|med-rose|240|160|160
57|med-tan|210|140|60
58|NINFO|251|127|74
59|NODTA|189|200|194
60|OUTLL|222|205|140
61|OUTLW|0|0|2
62|PLRTE|241|71|60
63|PSTRK|0|0|6
64|RADHI|85|162|79
65|RADLO|124|254|113
66|RES01|158|161|150
67|RES02|158|161|151
68|RES03|158|161|152
69|BKAJ1|0|0|0
70|BKAJ2|36|40|36
71|RESBL|97|141|243
72|RESGR|76|98|110
73|not-used2|2|2|2
74|SCLBR|251|127|75
75|SHIPS|0|0|3
76|SNDG1|72|75|77
77|SNDG2|150|159|155
78|SYTRK|169|173|165
79|TRFCD|222|75|203
80|TRFCF|235|183|238
81|UIAFD|145|202|244
82|UIAFF|222|205|141
83|UIBCK|234|255|245
84|UIBDR|150|159|156
85|UINFB|97|141|244
86|UINFD|0|0|5
87|UINFF|150|159|157
88|UINFG|124|254|114
89|UINFM|222|75|204
90|UINFO|251|127|76
91|UINFR|255|92|124
92|opgreen|89|253|158
93|purple21|220|206|255
94|purple42|205|186|254
95|blu100|0|191|255
96|red-brown100|165|42|42
97|red-brown54|230|100|70
98|red12-brown21|224|180|193
99|green21|201|234|201
100|brown21|235|195|100
101|brown7|245|210|100
102|tan-BUA|237|226|186
103|olive-green|142|201|107
104|midnight-blu|0|121|164
105|steel-blu|170|202|199
