physical_property,property_text,is_fundamental,length_dimension,mass_dimension,time_dimension,current_dimension,amount_dimension,luminous_intensity_dimension,planar_angle_dimension,solid_angle_dimension,temperature_dimension
LENGTH,length,TRUE,1,0,0,0,0,0,0,0,0
MASS,mass,TRUE,0,1,0,0,0,0,0,0,0
TIME,time,TRUE,0,0,1,0,0,0,0,0,0
CURRENT,current,TRUE,0,0,0,1,0,0,0,0,0
AMOUNT,"amount of substance",TRUE,0,0,0,0,1,0,0,0,0
LUMINOUS_INTENSITY,"luminous intensity",TRUE,0,0,0,0,0,1,0,0,0
PLANAR_ANGLE,"planar angle",TRUE,0,0,0,0,0,0,1,0,0
SOLID_ANGLE,"solid angle",TRUE,0,0,0,0,0,0,0,1,0
TEMPERATURE,"temperature",TRUE,0,0,0,0,0,0,0,0,1
SPEED,speed,FALSE,1,0,-1,0,0,0,0,0,0
FREQUENCY,frequency,FALSE,0,0,-1,0,0,0,0,0,0
ENERGY,energy,FALSE,2,1,-2,0,0,0,0,0,0
POWER,power,FALSE,2,1,-3,0,0,0,0,0,0
PRESSURE,pressure,FALSE,-1,1,-2,0,0,0,0,0,0
FORCE,force,FALSE,1,1,-2,0,0,0,0,0,0
DENSITY,density,FALSE,-3,1,0,0,0,0,0,0,0
AREA,area,FALSE,2,0,0,0,0,0,0,0,0
VOLUME,volume,FALSE,3,0,0,0,0,0,0,0,0
ELECTRIC_POTENTIAL,electric potential,FALSE,2,1,-3,-1,0,0,0,0,0
ELECTRIC_CONDUCTANCE,electric conductance,FALSE,-2,-1,3,2,0,0,0,0,0
ELECTRICAL_CONDUCTIVITY,electrical conductivity,FALSE,-3,-1,3,2,0,0,0,0,0
ELECTRIC_RESISTANCE,electric resistance,FALSE,2,1,-3,-2,0,0,0,0,0
CAPACITANCE,capacitance,FALSE,-2,-1,4,2,0,0,0,0,0
ELECTRIC_CHARGE,electric charge,FALSE,0,0,1,1,0,0,0,0,0
MAGNETIC_FLUX,magnetic flux,FALSE,2,1,-2,-1,0,0,0,0,0
MAGNETIC_FLUX_DENSITY,magnetic flux density,FALSE,0,1,-2,-1,0,0,0,0,0
INDUCTANCE,inductance,FALSE,2,1,-2,-2,0,0,0,0,0
